model_name,best_n_folds,train_accuracy,test_accuracy,precision,recall,f1,auc,cv_mean,cv_std,cv_min,cv_max,true_negative,false_positive,false_negative,true_positive,training_time,rank,performance_category,overfit_indicator
ExtraTrees,4,0.9983050847457627,0.8552758954501453,0.8508604206500956,0.861568247821878,0.8561808561808562,0.9260061719313009,0.8563586465430335,0.0065378690898939,0.8494208494208494,0.8660496833901608,877,156,143,890,0.6670386791229248,1,Excellent,High
LightGBM,4,0.9053268765133172,0.8552758954501453,0.8549323017408124,0.8557599225556631,0.8553459119496856,0.9352509490773496,0.8561693666159836,0.008155391219938525,0.8508341511285574,0.8702516033547114,883,150,149,884,0.6742396354675293,2,Excellent,Moderate
GradientBoosting,4,0.8692493946731235,0.851403678606002,0.8424528301886792,0.8644724104549855,0.8533205924510272,0.9320937616262559,0.8554620488410762,0.007402083441583276,0.8448687350835322,0.8647859922178989,866,167,140,893,4.813953638076782,3,Excellent,Low
SuperEnsemble,3,0.9070217917675545,0.8494675701839303,0.8418560606060606,0.8606001936108422,0.8511249401627573,0.9360259547235517,0.8564513672628385,0.008387485007973693,0.8445896877269427,0.8623988226637234,866,167,144,889,45.706148624420166,4,Excellent,Moderate
XGBoost,4,0.9020581113801452,0.8499515972894482,0.8446139180171592,0.8576960309777347,0.851104707012488,0.9363989320478423,0.8559117985672196,0.007301206923788626,0.8493417844953681,0.8674223755544603,870,163,147,886,1.0722136497497559,5,Excellent,Moderate
Bagging,4,0.9981840193704601,0.850919651500484,0.8516003879728419,0.8499515972894482,0.8507751937984496,0.9298971313545545,0.8523734207662972,0.007250002471128517,0.8435835351089589,0.861900097943193,880,153,155,878,3.729809045791626,6,Excellent,High
RandomForest,5,0.9983050847457627,0.8499515972894482,0.8479307025986526,0.8528557599225557,0.8503861003861004,0.9271012071158076,0.851213352094015,0.005733354489970547,0.8416616496086695,0.8580171358629131,875,158,152,881,1.3379855155944824,7,Excellent,High
AdaBoost,2,0.8393462469733656,0.8315585672797676,0.8099547511312217,0.8664085188770572,0.8372310570626754,0.9178601784855809,0.8417210090113831,0.005907165401649983,0.8358138436097331,0.8476281744130331,823,210,138,895,1.931061029434204,8,Excellent,Low
MLP,4,0.8757869249394673,0.8262342691190707,0.8014311270125224,0.8673765730880929,0.8331008833100884,0.9078984976885714,0.8345033977537304,0.008038396806591722,0.8264223722275795,0.8477842003853564,811,222,137,896,7.040773630142212,9,Excellent,Low
KNN,4,0.9983050847457627,0.8204259438528557,0.8025594149908593,0.8499515972894482,0.8255759285378468,0.8963029325576405,0.8241450370039565,0.004585293789461293,0.8189855746859004,0.8296780214652356,817,216,155,878,0.32486677169799805,10,Excellent,High
DecisionTree,4,0.8578692493946731,0.81945788964182,0.8185328185328186,0.8209099709583737,0.8197196713388111,0.8898259657816732,0.8216610596228229,0.00527059624780637,0.8140900195694716,0.828941063727839,845,188,185,848,0.16497182846069336,11,Excellent,Low
SVC,4,0.8324455205811138,0.8155856727976767,0.8075471698113208,0.8286544046466602,0.8179646440516005,0.898356650663628,0.8197002909220801,0.011998296844322649,0.8031265266243283,0.8356899073622623,829,204,177,856,16.321901082992554,12,Excellent,Low
QDA,2,0.7789346246973365,0.7763794772507261,0.7528786536758193,0.8228460793804453,0.786308973172988,0.8504515555872098,0.7852900909172891,0.00626911189631002,0.779020979020979,0.791559202813599,754,279,183,850,0.14333677291870117,13,Excellent,Low
LogisticRegression,2,0.7692493946731235,0.7628267182962246,0.734253666954271,0.8238141335914811,0.7764598540145985,0.8423941208277849,0.7771305473654434,0.00703708942151815,0.7700934579439253,0.7841676367869616,725,308,182,851,0.1690223217010498,14,Excellent,Low
NaiveBayes,2,0.7562953995157385,0.7560503388189739,0.7184145334434352,0.8422071636011617,0.7754010695187166,0.8365211336636401,0.7721419577365826,0.006743407011944869,0.7653985507246377,0.7788853647485274,692,341,163,870,0.13999676704406738,15,Excellent,Low
SGD,2,0.7682808716707021,0.7594385285575992,0.7294520547945206,0.8247821878025169,0.7741935483870968,0.8416528518239809,0.7774951946500437,0.0075137820106385145,0.7699814126394052,0.7850089766606823,717,316,181,852,0.20369482040405273,16,Excellent,Low
LDA,5,0.7648910411622276,0.7594385285575992,0.7326388888888888,0.8170377541142304,0.7725400457665904,0.8413051769814889,0.7757195231139911,0.0094424925769177,0.7641234711706465,0.7884841363102233,725,308,189,844,0.1560356616973877,17,Excellent,Low
