model_name,best_n_folds,best_f1_mean,f1_std,stability
AdaBoost,2,0.8417210090113831,0.008353993426194556,Very Stable
Bagging,4,0.8523734207662971,0.00837158175666295,Very Stable
DecisionTree,4,0.8216610596228229,0.006085960324921655,Very Stable
ExtraTrees,4,0.8563586465430335,0.0075492809579535336,Very Stable
GradientBoosting,4,0.8554620488410762,0.008547189735124352,Very Stable
KNN,4,0.8241450370039566,0.005294641207317991,Very Stable
LDA,5,0.7757195231139911,0.010557027639512587,Very Stable
LightGBM,4,0.8561693666159838,0.009417034632356413,Very Stable
LogisticRegression,2,0.7771305473654434,0.009951947299543205,Very Stable
MLP,4,0.8345033977537304,0.009281941120277555,Very Stable
NaiveBayes,2,0.7721419577365826,0.00953661765289426,Very Stable
QDA,2,0.7852900909172891,0.008865863067796182,Very Stable
RandomForest,5,0.8512133520940152,0.006410085189338892,Very Stable
SGD,2,0.7774951946500437,0.010626092424159931,Very Stable
SVC,4,0.8197002909220801,0.013854439825773408,Very Stable
SuperEnsemble,3,0.8564513672628385,0.010272529247389606,Very Stable
XGBoost,4,0.8559117985672196,0.008430707565717026,Very Stable
