model_name,training_time,f1,auc,test_accuracy,cv_mean,rank,best_n_folds,speed_category
ExtraTrees,0.6670386791229248,0.8561808561808562,0.9260061719313009,0.8552758954501453,0.8563586465430335,1,4,Very Fast
LightGBM,0.6742396354675293,0.8553459119496856,0.9352509490773496,0.8552758954501453,0.8561693666159836,2,4,Very Fast
GradientBoosting,4.813953638076782,0.8533205924510272,0.9320937616262559,0.851403678606002,0.8554620488410762,3,4,Fast
SuperEnsemble,45.706148624420166,0.8511249401627573,0.9360259547235517,0.8494675701839303,0.8564513672628385,4,3,Slow
XGBoost,1.0722136497497559,0.851104707012488,0.9363989320478423,0.8499515972894482,0.8559117985672196,5,4,Fast
Bagging,3.729809045791626,0.8507751937984496,0.9298971313545545,0.850919651500484,0.8523734207662972,6,4,Fast
RandomForest,1.3379855155944824,0.8503861003861004,0.9271012071158076,0.8499515972894482,0.851213352094015,7,5,Fast
AdaBoost,1.931061029434204,0.8372310570626754,0.9178601784855809,0.8315585672797676,0.8417210090113831,8,2,Fast
MLP,7.040773630142212,0.8331008833100884,0.9078984976885714,0.8262342691190707,0.8345033977537304,9,4,Moderate
KNN,0.32486677169799805,0.8255759285378468,0.8963029325576405,0.8204259438528557,0.8241450370039565,10,4,Very Fast
DecisionTree,0.16497182846069336,0.8197196713388111,0.8898259657816732,0.81945788964182,0.8216610596228229,11,4,Very Fast
SVC,16.321901082992554,0.8179646440516005,0.898356650663628,0.8155856727976767,0.8197002909220801,12,4,Moderate
QDA,0.14333677291870117,0.786308973172988,0.8504515555872098,0.7763794772507261,0.7852900909172891,13,2,Very Fast
LogisticRegression,0.1690223217010498,0.7764598540145985,0.8423941208277849,0.7628267182962246,0.7771305473654434,14,2,Very Fast
NaiveBayes,0.13999676704406738,0.7754010695187166,0.8365211336636401,0.7560503388189739,0.7721419577365826,15,2,Very Fast
SGD,0.20369482040405273,0.7741935483870968,0.8416528518239809,0.7594385285575992,0.7774951946500437,16,2,Very Fast
LDA,0.1560356616973877,0.7725400457665904,0.8413051769814889,0.7594385285575992,0.7757195231139911,17,5,Very Fast
